"","YEAR","LOCATION","season","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
"157",2002,"S2S","Growing",1.14,0.46,4.83,3.05,3,2.69,3.02,2.11,NA,1.55,NA
"158",2002,"S2S","Melt",4.6,5.36,6.98,4.9,4.6,4.01,4.62,4.42,2.16,3.48,NA
"159",2002,"S2S","Snow",3.81,2.72,5.33,2.72,2.59,2.34,2.77,1.93,NA,1.55,NA
"160",2003,"S2E","Growing",2.69,1.83,1.55,1.73,1.73,1.52,1.42,1.42,NA,NA,NA
"161",2003,"S2E","Melt",3.38,7.06,3.15,1.98,1.73,1.47,1.27,1.27,NA,NA,NA
"162",2003,"S2E","Snow",2.69,2.92,1.57,1.68,1.68,1.37,1.63,1.63,NA,NA,NA
"163",2003,"S2S","Growing",2.03,0.79,4.72,3.02,2.9,2.54,2.84,1.83,NA,1.63,NA
"164",2003,"S2S","Melt",5.05,4.72,6.83,4.88,4.27,3.86,4.44,3.99,0.91,2.87,NA
"165",2003,"S2S","Snow",3.28,1.04,4.44,2.77,2.72,2.49,2.79,1.96,NA,1.47,NA
"166",2004,"S2E","Growing",3.96,8.26,3.33,2.13,1.7,1.63,1.78,1.78,NA,NA,NA
"167",2004,"S2E","Melt",3.81,7.42,3.33,2.62,1.93,1.57,1.68,1.68,NA,NA,NA
"168",2004,"S2E","Snow",3.89,7.11,3.17,2.69,1.68,1.37,1.52,1.52,NA,NA,NA
"169",2004,"S2S","Growing",4.04,5,7.26,4.78,4.39,3.99,4.75,4.09,1.47,2.95,NA
"170",2004,"S2S","Melt",3.96,4.39,7.11,4.83,4.32,3.94,4.52,4.29,0.91,2.64,NA
"171",2004,"S2S","Snow",5.21,4.11,7.04,4.85,4.57,4.14,4.83,4.24,1.12,2.69,NA
"172",2005,"S2E","Growing",2.44,1.96,0.91,1.24,0.89,1.88,1.88,1.88,NA,NA,NA
"173",2005,"S2E","Melt",5.59,8.69,3.76,2.95,1.88,1.88,1.68,1.68,NA,NA,NA
"174",2005,"S2E","Snow",3.4,4.78,1.83,1.65,1.55,1.32,1.32,1.32,NA,NA,NA
"175",2005,"S2S","Growing",2.84,1.27,4.01,2.64,2.59,2.16,2.59,1.5,NA,1.19,NA
"176",2005,"S2S","Melt",4.75,8.81,7.52,5,4.78,4.47,4.88,4.78,2.31,3.63,NA
"177",2005,"S2S","Snow",4.14,3.96,6.58,2.84,2.41,2.01,1.68,NA,NA,1.19,NA
"178",2006,"S2E","Growing",2.31,1.42,0.86,1.24,1.27,1.17,1.17,1.17,NA,NA,NA
"179",2006,"S2E","Melt",4.06,7.92,3.35,2.74,1.8,1.55,1.55,1.55,NA,NA,NA
"180",2006,"S2E","Snow",3.17,4.39,1.35,1.12,1.5,1.12,1.12,1.12,NA,NA,NA
